use_no, field_name, old_value, new_value, error_id
4026530, AMT_PRD_USED, 156, 1.7499, 155365
4026540, ACRE_PLANTED, 135, 140, 155374
4026543, ACRE_PLANTED, 135, 140, 155377
4026608, ACRE_PLANTED, 28, 29, 155425
4026619, ACRE_PLANTED, 32, 32.5, 155433
4026621, ACRE_PLANTED, 32, 32.5, 155435
4026622, ACRE_PLANTED, 32, 32.5, 155436
4027135, ACRE_PLANTED, 83.24, 87.3, 155767
4027974, ACRE_PLANTED, 6, 7.18, 156332
4027961, ACRE_PLANTED, 136, 137, 156323
4027977, ACRE_PLANTED, 15, 17.48, 156336
4029174, ACRE_PLANTED, 30, 63.2, 156962
4029180, ACRE_PLANTED, 30, 63.2, 156968
4029188, ACRE_PLANTED, 42, 52, 156976
4026652, ACRE_PLANTED, 11, 15.21, 155445
4026459, ACRE_PLANTED, 33, 33.65, 155312
4026465, ACRE_PLANTED, 84, 87, 155318
4026468, ACRE_PLANTED, 84, 87, 155321
4027741, ACRE_PLANTED, 17, 18, 156145
4027750, ACRE_PLANTED, 84, 87, 156153
1167073, ACRE_PLANTED, 44, 44.06, 35829
1167074, ACRE_PLANTED, 44, 44.06, 35830
1167079, ACRE_PLANTED, 72.7, 82.76, 35835
4028319, ACRE_PLANTED, 8000, 642.97, 156564
4026336, ACRE_PLANTED, 27.6, 32.69, 155220
4026360, ACRE_PLANTED, 21.8, 22.17, 155240
4027859, ACRE_PLANTED, 37, 40, 156241
4027901, ACRE_PLANTED, 28, 30.4, 156269
4028504, ACRE_PLANTED, 47, 58.66, 156696
4028513, ACRE_PLANTED, 32, 32.5, 156702
4028519, ACRE_PLANTED, 31, 32, 156708
4028524, ACRE_PLANTED, 874, 666.58, 156713
4029278, ACRE_PLANTED, 45, 48, 157069
4029258, ACRE_PLANTED, 30, 60, 157047
4029268, ACRE_PLANTED, 25.5, 35, 157057
4029237, ACRE_PLANTED, 17, 20, 157025
4029245, ACRE_PLANTED, 35, 50, 157034
4029249, ACRE_PLANTED, 2, 3, 157038
4029253, ACRE_PLANTED, 30, 32, 157042
4027049, ACRE_PLANTED, 59, 85, 155716
4027083, ACRE_PLANTED, 78, 78.2, 155739
4028423, ACRE_PLANTED, 48.5, 49.28, 156636
4028103, ACRE_PLANTED, 37, 40, 156420
4028104, ACRE_PLANTED, 37, 40, 156421
4027344, ACRE_PLANTED, 3.5, 6.5, 155911
4028154, ACRE_PLANTED, 8, 13, 156453
4028159, ACRE_PLANTED, 10, 11, 156457
4028173, ACRE_PLANTED, 3.5, 6.5, 156469
4028184, ACRE_PLANTED, 13, 15, 156477
4027702, ACRE_PLANTED, 100, 107.05, 156121
4027703, ACRE_PLANTED, 100, 107.05, 156122
4027704, ACRE_PLANTED, 100, 107.05, 156123
4027722, ACRE_PLANTED, 9, 10, 156134
4026862, ACRE_PLANTED, 18, 18.37, 155587
4026858, ACRE_PLANTED, 8, 40, 155583
4026859, ACRE_PLANTED, 28, 140, 155584
4026870, ACRE_PLANTED, 28, 58.2, 155591
4026897, ACRE_PLANTED, 9, 11, 155607
4026904, ACRE_PLANTED, 31.05, 31.12, 155614
4027472, ACRE_PLANTED, 136, 137, 155979
4029424, LBS_PRD_USED, .0002, .0002, 157131
4029449, ACRE_PLANTED, 5, 6.48, 157136
4029575, ACRE_PLANTED, 750, 640.78, 157147
4029578, ACRE_PLANTED, 750, 640.78, 157149
3290784, LBS_PRD_USED, .175, .175, 93027
3290784, AMT_PRD_USED, 20, 2.8, 93027
4027216, ACRE_PLANTED, 32.46, 36.12, 155829
4027220, ACRE_PLANTED, 23.1, 24.32, 155833
4027235, ACRE_PLANTED, 48, 49.4, 155842
4027239, ACRE_PLANTED, 21.8, 22.17, 155844
4029217, ACRE_PLANTED, 21, 23, 157005
4029191, ACRE_PLANTED, 38, 40, 156979
4029198, ACRE_PLANTED, 42, 52, 156986
4026718, ACRE_PLANTED, 29, 31, 155483
4026730, ACRE_PLANTED, 40, 40.05, 155493
4027540, ACRE_PLANTED, 135, 140, 156031
4027570, ACRE_PLANTED, 83.49, 84.05, 156050
4027566, ACRE_PLANTED, 38, 38.44, 156046
4027569, ACRE_PLANTED, 83.49, 84.05, 156049
4028338, ACRE_PLANTED, 21.8, 22.17, 156580
4028339, ACRE_PLANTED, 21.8, 22.17, 156581
4028054, ACRE_PLANTED, 8, 8.47, 156383
4028075, ACRE_PLANTED, 10, 10.11, 156401
4028676, ACRE_PLANTED, 48, 49.4, 156825
4028681, ACRE_PLANTED, 44, 45, 156830
4026763, ACRE_PLANTED, 41, 44, 155510
4028358, ACRE_PLANTED, 44, 45, 156600
4026737, ACRE_PLANTED, 34.4, 35, 155497
4026769, ACRE_PLANTED, 83.24, 87.3, 155516
4026770, ACRE_PLANTED, 83.24, 87.3, 155517
4027313, ACRE_PLANTED, 63.78, 64.77, 155893
4027290, ACRE_PLANTED, 28, 30, 155877
4027334, ACRE_PLANTED, 84, 95, 155902
4028088, ACRE_PLANTED, 78, 78.2, 156410
4028824, AMT_PRD_USED, 747.74, 1.3342, 156907
4028755, ACRE_PLANTED, 21.8, 22.17, 156881
4029227, ACRE_PLANTED, 30, 32, 157015
4029230, ACRE_PLANTED, 30, 32, 157018
4029208, ACRE_PLANTED, 25.5, 35, 156996
4029210, ACRE_PLANTED, 25.5, 35, 156998
4029282, ACRE_PLANTED, 26, 38.5, 157073
4029286, ACRE_PLANTED, 45, 48, 157077
4029291, ACRE_PLANTED, 45, 48, 157082
4029297, ACRE_PLANTED, 10.8, 11, 157088
4029299, ACRE_PLANTED, 45, 48, 157090
4029308, ACRE_PLANTED, 45, 48, 157100
4026804, ACRE_PLANTED, 100, 107.05, 155536
4026807, ACRE_PLANTED, 100, 107.05, 155539
4026809, ACRE_PLANTED, 20, 21.4, 155541
4026829, ACRE_PLANTED, 19.3, 20.62, 155554
4026835, ACRE_PLANTED, 2, 3.33, 155560
4027355, ACRE_PLANTED, 11, 15.21, 155918
4027371, ACRE_PLANTED, 700, 619.45, 155935
4027376, ACRE_PLANTED, 8.5, 14, 155940
4028150, ACRE_PLANTED, 10, 11, 156450
4027680, ACRE_PLANTED, 108, 181, 156104
4027392, ACRE_PLANTED, 20, 21.4, 155949
4027693, ACRE_PLANTED, 20.1, 20.26, 156117
4031455, ACRE_PLANTED, 6.7, 8.21, 157631
4031480, ACRE_PLANTED, 7.8, 8.09, 157658
4031553, ACRE_PLANTED, 15.14, 15.4, 157733
4031555, ACRE_PLANTED, 5.6, 5.66, 157735
4031410, ACRE_PLANTED, 7.9, 8, 157585
4031414, ACRE_PLANTED, 6, 6.28, 157590
4031434, ACRE_PLANTED, 3.5, 3.55, 157610
4031429, ACRE_PLANTED, 185, 195.91, 157605
4031436, ACRE_PLANTED, 3.5, 3.55, 157612
4032735, ACRE_PLANTED, 2, 4, 158046
4032764, ACRE_PLANTED, 13, 14, 158076
4032768, ACRE_PLANTED, 13, 14, 158080
4027743, ACRE_PLANTED, 17, 18, 156147
4027748, ACRE_PLANTED, 7, 17, 156151
4027751, ACRE_PLANTED, 163, 174, 156154
4027766, ACRE_PLANTED, 23, 40, 156164
4027767, ACRE_PLANTED, 23, 40, 156165
4028443, ACRE_PLANTED, 3.65, 4.2, 156656
4028252, ACRE_PLANTED, 163, 174, 156521
4028260, ACRE_PLANTED, 8, 8.47, 156526
4027805, ACRE_PLANTED, 28, 30.4, 156192
4027806, ACRE_PLANTED, 32, 35, 156193
4028304, ACRE_PLANTED, 97.49, 100, 156554
4028306, ACRE_PLANTED, 97.49, 100, 156556
4028318, ACRE_PLANTED, 8000, 642.97, 156563
4028320, ACRE_PLANTED, 8000, 642.97, 156565
4026318, ACRE_PLANTED, 10, 12, 155212
4029157, ACRE_PLANTED, 30, 46, 156945
4027055, ACRE_PLANTED, 10, 12, 155722
4027084, ACRE_PLANTED, 77, 78, 155740
4027910, ACRE_PLANTED, 18, 18.37, 156278
4031494, ACRE_PLANTED, 15, 22.39, 157672
4031500, ACRE_PLANTED, 60, 60.93, 157678
4031439, ACRE_PLANTED, 1.5, 8, 157615
4031440, ACRE_PLANTED, 15, 22.39, 157616
4031445, ACRE_PLANTED, 4, 4.06, 157621
4031451, ACRE_PLANTED, 28, 29.39, 157627
4032790, ACRE_PLANTED, 2, 4, 158102
4032804, ACRE_PLANTED, 53, 60, 158118
4032690, ACRE_PLANTED, 2, 4, 158001
4032700, ACRE_PLANTED, 8.5, 18, 158011
4032707, ACRE_PLANTED, 28.35, 31, 158018
4032717, ACRE_PLANTED, 2, 4, 158028
4032718, ACRE_PLANTED, 2.5, 4, 158029
4032719, ACRE_PLANTED, 2.5, 4, 158030
4032720, ACRE_PLANTED, 2.5, 4, 158031
4032724, ACRE_PLANTED, 4, 12, 158035
4032730, ACRE_PLANTED, 7.37, 11.6, 158041
4032731, ACRE_PLANTED, 10.5, 10.91, 158042
1166661, AMT_PRD_USED, 7, .2479, 35768
1166662, LBS_PRD_USED, .2479, .2479, 35769
1166662, AMT_PRD_USED, 9, .2479, 35769
1166663, LBS_PRD_USED, .2479, .2479, 35770
1166663, AMT_PRD_USED, 10, .2479, 35770
1166664, LBS_PRD_USED, .4959, .4959, 35771
1166664, AMT_PRD_USED, 15, .4959, 35771
4026218, ACRE_PLANTED, 9, 14.5, 155181
4026230, ACRE_PLANTED, 1.7, 1.9, 155191
4026233, ACRE_PLANTED, 60, 80, 155194
4026235, ACRE_PLANTED, .8, 6, 155196
4031277, ACRE_PLANTED, 1, 9, 157521
4031255, ACRE_PLANTED, .5, .7, 157499
4031364, ACRE_PLANTED, 185, 195.91, 157539
4031380, ACRE_PLANTED, 5, 5.01, 157554
4031812, ACRE_PLANTED, 2.5, 57, 157791
4031813, ACRE_PLANTED, 2.5, 57, 157792
4032573, ACRE_PLANTED, 185, 240, 157966
4032579, ACRE_PLANTED, 185, 240, 157972
4032587, ACRE_PLANTED, 178, 185, 157980
4032589, ACRE_PLANTED, 7.37, 11, 157982
4032415, ACRE_PLANTED, 185, 240, 157806
